ac_number,party_21,share_21,turnout_21,reserved,region,party_26,share_26,constituency,district,region_master,margin_21,mpct_21,margin_26,mpct_26,flipped,margin_change
1,DMK,56.94,78.08,GEN,Chennai Metro,TVK,40.56,Gummidipundi,Tiruvallur,Chennai Metro,50938,22.94,27945,12.02,True,-22993
2,INC,44.94,78.2,SC,Chennai Metro,TVK,48.69,Ponneri,Tiruvallur,Chennai Metro,9689,4.61,55768,24.59,True,46079
3,DMK,51.72,78.76,GEN,Chennai Metro,AIADMK,37.34,Tiruttani,Tiruvallur,Chennai Metro,29253,12.58,5793,2.43,True,-23460
4,DMK,50.27,77.2,GEN,Chennai Metro,TVK,40.71,Thiruvallur,Tiruvallur,Chennai Metro,22701,10.6,24760,10.94,True,2059
5,DMK,56.72,72.99,SC,Chennai Metro,TVK,52.22,Poonamallee,Tiruvallur,Chennai Metro,94110,35.68,72740,23.55,True,-21370
6,DMK,49.94,67.37,GEN,Chennai Metro,TVK,52.13,Avadi,Tiruvallur,Chennai Metro,55275,18.37,76311,22.05,True,21036
7,DMK,44.29,60.3,GEN,Chennai Metro,TVK,48.26,Maduravoyal,Tiruvallur,Chennai Metro,31721,11.58,61509,20.94,True,29788
8,DMK,47.67,62.01,GEN,Chennai Metro,TVK,51.29,Ambattur,Tiruvallur,Chennai Metro,42146,17.54,58781,22.61,True,16635
9,DMK,50.04,66.37,GEN,Chennai Metro,TVK,52.61,Madavaram,Tiruvallur,Chennai Metro,57071,18.85,94985,26.24,True,37914
10,DMK,44.09,65.15,GEN,Chennai Metro,TVK,53.15,Thiruvottiyur,Tiruvallur,Chennai Metro,37661,18.83,53564,25.87,True,15903
11,DMK,51.2,70.98,GEN,Chennai Metro,TVK,53.97,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,42479,22.71,49668,27.41,True,7189
12,DMK,52.53,63.0,GEN,Chennai Metro,TVK,58.89,Perambur,Chennai,Chennai Metro,54976,27.43,53715,26.28,True,-1261
13,DMK,60.86,61.04,GEN,Chennai Metro,TVK,45.09,Kolathur,Chennai,Chennai Metro,70384,40.59,8795,4.78,True,-61589
14,DMK,52.83,55.92,GEN,Chennai Metro,TVK,46.97,Villivakkam,Chennai,Chennai Metro,37237,25.84,17302,12.23,True,-19935
15,DMK,61.13,60.62,SC,Chennai Metro,TVK,48.04,Thiru-Vi-Ka-Nagar,Chennai,Chennai Metro,55013,41.15,22333,15.52,True,-32680
16,DMK,57.71,61.13,SC,Chennai Metro,TVK,45.02,Egmore,Chennai,Chennai Metro,38768,32.5,10804,9.02,True,-27964
17,DMK,53.16,62.6,GEN,Chennai Metro,TVK,46.4,Royapuram,Chennai,Chennai Metro,27779,22.92,14249,11.19,True,-13530
18,DMK,58.35,57.64,GEN,Chennai Metro,DMK,45.43,Harbour,Chennai,Chennai Metro,27274,26.83,11750,11.79,False,-15524
19,DMK,67.89,58.33,GEN,Chennai Metro,DMK,44.76,Chepauk-Thiruvallikeni,Chennai,Chennai Metro,69355,50.47,7140,5.07,False,-62215
20,DMK,52.87,56.25,GEN,Chennai Metro,TVK,44.73,Thousand Lights,Chennai,Chennai Metro,32462,23.88,15141,11.49,True,-17321
