constituency,ac_number,candidate,party,votes,turnout,reserved,region,total_votes,vote_share
Gummidipoondi,1,S.VIJAYAKUMAR,TVK,94320,,GEN,Chennai Metro,232522,40.56
Ponneri,2,DR.RAVI.M.S,TVK,110439,,SC,Chennai Metro,226819,48.69
Tiruttani,3,G.HARI,AIADMK,89169,,GEN,Chennai Metro,238798,37.34
Thiruvallur,4,DR. T. ARUNKUMAR,TVK,92190,,GEN,Chennai Metro,226428,40.71
Poonamallee,5,PRAKASAM.R,TVK,161309,,SC,Chennai Metro,308894,52.22
Avadi,6,R.RAMESH KUMAR,TVK,180384,,GEN,Chennai Metro,346005,52.13
Maduravoyal,7,RHEVANTH CHARAN,TVK,141725,,GEN,Chennai Metro,293692,48.26
Ambattur,8,BALAMURUGAN.G,TVK,133339,,GEN,Chennai Metro,259986,51.29
Madavaram,9,M.L.VIJAYPRABHU,TVK,190462,,GEN,Chennai Metro,361998,52.61
Thiruvottiyur,10,SENTHIL KUMAR. N,TVK,110067,,GEN,Chennai Metro,207088,53.15
Dr.Radhakrishnan Nagar,11,N. MARIE WILSON,TVK,97800,,GEN,Chennai Metro,181206,53.97
Perambur,12,C. JOSEPH VIJAY,TVK,120365,,GEN,Chennai Metro,204384,58.89
Kolathur,13,V. S. BABU,TVK,82997,,GEN,Chennai Metro,184051,45.09
Villivakkam,14,AADHAV ARJUNA,TVK,66445,,GEN,Chennai Metro,141452,46.97
Thiru-Vi-Ka-Nagar,15,M. R. PALLAVI,TVK,69125,,SC,Chennai Metro,143903,48.04
Egmore,16,RAJMOHAN,TVK,53901,,SC,Chennai Metro,119738,45.02
Royapuram,17,K.V. VIJAY DAMU,TVK,59091,,GEN,Chennai Metro,127356,46.4
Harbour,18,P K SEKARBABU,DMK,45254,,GEN,Chennai Metro,99622,45.43
Chepauk-Thiruvallikeni,19,UDHAYANIDHI STALIN,DMK,62992,,GEN,Chennai Metro,140741,44.76
Thousand Lights,20,PRABHAKAR.J.C.D,TVK,58965,,GEN,Chennai Metro,131824,44.73
Anna Nagar,21,V.K.RAMKUMAR,TVK,71375,,GEN,Chennai Metro,163339,43.7
Virugampakkam,22,SABARINATHAN.R,TVK,76092,,GEN,Chennai Metro,172831,44.03
Saidapet,23,ARUL PRAKASAM. M,TVK,81205,,GEN,Chennai Metro,160401,50.63
Thiyagarayanagar,24,ANAND N,TVK,51632,,GEN,Chennai Metro,133928,38.55
Mylapore,25,VENKATARAMANAN. P,TVK,70070,,GEN,Chennai Metro,150594,46.53
Velachery,26,KUMAR. R,TVK,80430,,GEN,Chennai Metro,184815,43.52
Shozhinganallur,27,ECR P SARAVANAN,TVK,220382,,GEN,Chennai Metro,447295,49.27
Alandur,28,M.HARISH,TVK,112205,,GEN,Chennai Metro,261570,42.9
Sriperumbudur,29,THENNARASU.K,TVK,147611,,SC,Chennai Metro,331088,44.58
Pallavaram,30,J.KAMATCHI,TVK,133611,,GEN,Chennai Metro,283677,47.1
Tambaram,31,D.SARATHKUMAR,TVK,118967,,GEN,Chennai Metro,278809,42.67
Chengalpattu,32,S. THIYAGARAJAN,TVK,137136,,GEN,Chennai Metro,324010,42.32
Thiruporur,33,B.VIJAYARAJ,TVK,110095,,GEN,North,262409,41.96
Cheyyur,34,RAJASEKAR. E,AIADMK,63809,,SC,North,187584,34.02
Madurantakam,35,MARAGATHAM KUMARAVEL.K,AIADMK,69284,,SC,North,198251,34.95
Uthiramerur,36,MUNIRATHINAM.J,TVK,84917,,GEN,North,227765,37.28
